"id","ticker","results_period_end","results_period_label","heps_12m_zarc","dividend_12m_zarc","cash_gen_ps_zarc","nav_ps_zarc","quick_ratio","source","created_at","results_release_date","period_months"
"2662","SYG.JO","2024-09-02","Sep 2024Final (12m)4 Dec 2024","229.1000","217.0000","-225.2000","558.7000",NULL,"sharedata","2025-12-02 14:50:41.509179+02","2024-12-04",NULL
"2663","SYG.JO","2023-09-02","Sep 2023Final (12m)4 Dec 2023","198.9000","210.0000","693.2300","543.9000","0.010000","sharedata","2025-12-02 14:50:41.510022+02","2023-12-04",NULL
"2664","SYG.JO","2022-09-02","Sep 2022Final (12m)5 Dec 2022","191.3000","210.0000","154.6400","559.4000",NULL,"sharedata","2025-12-02 14:50:41.510494+02","2022-12-05",NULL
"2665","SYG.JO","2021-09-02","Sep 2021Final (12m)7 Dec 2021","170.7000","135.0000","211.8000","522.0000","0.010000","sharedata","2025-12-02 14:50:41.510872+02","2021-12-07",NULL
"2666","SYG.JO","2025-03-02","Mar 2025Interim (6m)2 Jun 2025","241.6000","225.0000","197.1800","543.0000",NULL,"sharedata","2025-12-02 14:50:41.511487+02","2025-06-02",NULL
"2667","SYG.JO","2024-03-02","Mar 2024Interim (6m)5 Jun 2024","207.8000","213.0000","-404.4700","523.1000",NULL,"sharedata","2025-12-02 14:50:41.511851+02","2024-06-05",NULL
"2668","SYG.JO","2023-03-02","Mar 2023Interim (6m)5 Jun 2023","190.5000","217.0000","78.1900","521.7000",NULL,"sharedata","2025-12-02 14:50:41.512126+02","2023-06-05",NULL
"2669","SYG.JO","2022-03-02","Mar 2022Interim (6m)7 Jun 2022","188.5000","160.0000","133.4400","536.2000",NULL,"sharedata","2025-12-02 14:50:41.512388+02","2022-06-07",NULL
"2702","SYG.JO","2024-09-03","Sep 2024Final (12m)4 Dec 2024","229.1000","217.0000","-225.2000","558.7000",NULL,"sharedata","2025-12-03 08:31:32.570542+02","2024-12-04",NULL
"2703","SYG.JO","2023-09-03","Sep 2023Final (12m)4 Dec 2023","198.9000","210.0000","693.2300","543.9000","0.010000","sharedata","2025-12-03 08:31:32.573406+02","2023-12-04",NULL
"2704","SYG.JO","2022-09-03","Sep 2022Final (12m)5 Dec 2022","191.3000","210.0000","154.6400","559.4000",NULL,"sharedata","2025-12-03 08:31:32.573862+02","2022-12-05",NULL
"2705","SYG.JO","2021-09-03","Sep 2021Final (12m)7 Dec 2021","170.7000","135.0000","211.8000","522.0000","0.010000","sharedata","2025-12-03 08:31:32.574215+02","2021-12-07",NULL
"2706","SYG.JO","2025-03-03","Mar 2025Interim (6m)2 Jun 2025","241.6000","225.0000","197.1800","543.0000",NULL,"sharedata","2025-12-03 08:31:32.574525+02","2025-06-02",NULL
"2707","SYG.JO","2024-03-03","Mar 2024Interim (6m)5 Jun 2024","207.8000","213.0000","-404.4700","523.1000",NULL,"sharedata","2025-12-03 08:31:32.57482+02","2024-06-05",NULL
"2708","SYG.JO","2023-03-03","Mar 2023Interim (6m)5 Jun 2023","190.5000","217.0000","78.1900","521.7000",NULL,"sharedata","2025-12-03 08:31:32.575163+02","2023-06-05",NULL
"2709","SYG.JO","2022-03-03","Mar 2022Interim (6m)7 Jun 2022","188.5000","160.0000","133.4400","536.2000",NULL,"sharedata","2025-12-03 08:31:32.575502+02","2022-06-07",NULL
"619","SYG.JO","2024-09-30","Sep 2024Final (12m)4 Dec 2024","229.1000","217.0000","-225.2000","558.7000",NULL,"sharedata","2025-11-26 22:11:33.345292+02","2024-12-04",12
"620","SYG.JO","2023-09-30","Sep 2023Final (12m)4 Dec 2023","198.9000","210.0000","693.2300","543.9000","0.010000","sharedata","2025-11-26 22:11:33.410734+02","2023-12-04",12
"621","SYG.JO","2022-09-30","Sep 2022Final (12m)5 Dec 2022","191.3000","210.0000","154.6400","559.4000",NULL,"sharedata","2025-11-26 22:11:33.480371+02","2022-12-05",12
"622","SYG.JO","2021-09-30","Sep 2021Final (12m)7 Dec 2021","170.7000","135.0000","211.8000","522.0000","0.010000","sharedata","2025-11-26 22:11:33.5505+02","2021-12-07",12
"1848","SYG.JO","2025-03-31","Mar 2025Interim (6m)2 Jun 2025","241.6000","225.0000","197.1800","543.0000",NULL,"sharedata","2025-11-27 10:52:32.313687+02","2025-06-02",6
"1849","SYG.JO","2024-03-31","Mar 2024Interim (6m)5 Jun 2024","207.8000","213.0000","-404.4700","523.1000",NULL,"sharedata","2025-11-27 10:52:32.333846+02","2024-06-05",6
"1850","SYG.JO","2023-03-31","Mar 2023Interim (6m)5 Jun 2023","190.5000","217.0000","78.1900","521.7000",NULL,"sharedata","2025-11-27 10:52:32.353489+02","2023-06-05",6
"1851","SYG.JO","2022-03-31","Mar 2022Interim (6m)7 Jun 2022","188.5000","160.0000","133.4400","536.2000",NULL,"sharedata","2025-11-27 10:52:32.373203+02","2022-06-07",6
